,number,name,name_feeder_T,power_T,voltage_l,subscriber,Trs,fake_sect,sec_short
42,21,Подземгаз,8,16000,6,МКП Тулгорэлектротранс,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
43,21,Подземгаз,9,16000,6,АО Газстройдеталь,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
44,21,Подземгаз,10,16000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
45,21,Подземгаз,15 ,16000,6,ОАО ТНИТИ,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
46,21,Подземгаз,17,16000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
47,21,Подземгаз,ТСН ПРП (откл.),16000,6,,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
48,21,Подземгаз,19,16000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
49,21,Подземгаз,21,16000,6,ОАО Тулаточмаш,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
50,21,Подземгаз,23,16000,6,ООО Сибирь,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
51,21,Подземгаз,25,16000,6,ООО Сибирь,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
52,21,Подземгаз,27 (откл.),16000,6,ПСК Содружество,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
53,21,Подземгаз,29,16000,6,АО Тул.гор.электр.сети,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
54,21,Подземгаз,33,16000,6,"Филиал РТРС ""Тульский ОРТПЦ""",Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
