,number,name,name_feeder_T,power_T,voltage_l,subscriber,Trs,fake_sect,sec_short
360,145,Октябрьская,1,40000,6,ПАО НПО Стрела,Т-1,1 СкШ 6 кВ ПС Октябрьская,1 СкШ 6 кВ
365,145,Октябрьская,31,40000,10,МКП Тулгорэлектротранс,Т-1,1 СкШ 10 кВ ПС Октябрьская,1 СкШ 10 кВ
375,145,Октябрьская,2,40000,6,ПАО НПО Стрела,Т-2,2 СкШ 6 кВ ПС Октябрьская,2 СкШ 6 кВ
387,145,Октябрьская,30,40000,10,АО Тул. гор. электр. сети,Т-2,2 СкШ 10 кВ ПС Октябрьская,2 СкШ 10 кВ
399,149,Мясново,4,25000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Мясново,1 СкШ 6 кВ
410,149,Мясново,41,25000,10,АО Тул. гор. электр. сети,Т-1,1 СкШ 10 кВ ПС Мясново,1 СкШ 10 кВ
417,149,Мясново,20,25000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Мясново,2 СкШ 6 кВ
422,149,Мясново,40,25000,10,ООО Газпром энерго,Т-2,2 СкШ 10 кВ ПС Мясново,2 СкШ 10 кВ
429,149,Мясново,2,25000,6,АО Тул. гор. электр. сети,Т-3,3 СкШ 6 кВ ПС Мясново,3 СкШ 6 кВ
433,149,Мясново,65,25000,10,АО Тул. гор. электр. сети,Т-3,3 СкШ 10 кВ ПС Мясново,3 СкШ 10 кВ
434,155,Хрипково,1,2500,6,Ясногорский РЭС ,Т-1,1 СкШ 6 кВ ПС Хрипково,1 СкШ 6 кВ
437,155,Хрипково,2,2500,10,Ясногорский РЭС ,Т-2,2 СкШ 10 кВ ПС Хрипково,2 СкШ 10 кВ
438,164,Электропривод,Жилпосёлок,63000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Электропривод,1 СкШ 6 кВ
444,164,Электропривод,1,63000,6,ЗАО Тулаэлектропривод,Т-2,2 СкШ 6 кВ ПС Электропривод,2 СкШ 6 кВ
449,183,Пушкинская,1,25000,10,АО Алексинская электосетевая компания,Т-1,1 СкШ 10 кВ ПС Пушкинская,1 СкШ 10 кВ
456,183,Пушкинская,4,16000,10,АО Алексинская электосетевая компания,Т-2,2 СкШ 10 кВ ПС Пушкинская,2 СкШ 10 кВ
465,184,Малиновская,Карьер 1 (откл.),6300,6,ИП Брюзгина М.В.,Т-1,1 СкШ 6 кВ ПС Малиновская,1 СкШ 6 кВ
